KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamesetxt_UGmuO,Card Dealer,,,,,,,,Карточный дилер,,,,,,,,
txt_GiiaK,Yes,,,,,,,,Да,,,,,,,,
txt_8OGas,No,,,,,,,,Нет,,,,,,,,
txt_G0Fqm,<color=#cf0707>You lost!</color>,,,,,,,,<color=#cf0707>Ты проиграла!</color>,,,,,,,,
txt_vmOu4,Yes,,,,,,,,Да,,,,,,,,
txt_8Oiie,No,,,,,,,,Нет,,,,,,,,
dialogue_G8GSe,Station Service Console,,,,,,,,Консоль обслуживания станции,,,,,,,,
dialogue_8WuSa,UCH Heidelberg,,,,,,,,UCH Heidelberg,,,,,,,,
dialogue_40mWq,..dentify cn...us..!,,,,,,,,..определить cn ... нас ..!,,,,,,,,
dialogue_KKSS0,Proceed,,,,,,,,Продолжить,,,,,,,,
dialogue_Y0GSQ,Abort,,,,,,,,Прервать,,,,,,,,
dialogue_G80Sm,Play,,,,,,,,Играть,,,,,,,,
dialogue_iiSSK,Not now,,,,,,,,Не сейчас,,,,,,,,
dialogue_8S4ia,Ok IDA,,,,,,,,"Хорошо, IDA",,,,,,,,
dialogue_KeiGK,Thanks IDA.,,,,,,,,"Спасибо, IDA .",,,,,,,,
dialogue_aCg1a,Close,,,,,,,,Закрывать,,,,,,,,
dialogue_sbKOp,Close,,,,,,,,Закрывать,,,,,,,,
dialogue_0q4uW,Close,,,,,,,,Закрывать,,,,,,,,
dialogue_OiquC,Close,,,,,,,,Закрывать,,,,,,,,
dialogue_ueEKe,Close,,,,,,,,Закрывать,,,,,,,,
dialogue_8QqwW,Close,,,,,,,,Закрывать,,,,,,,,
dialogue_bGGKK,Alien code fragments..?,,,,,,,,Фрагменты чужого кода ..?,,,,,,,,
dialogue_0KS40,Close,,,,,,,,Закрывать,,,,,,,,
dialogue_GW8iG,AI Routine 34,,,,,,,,Программа AI 34,,,,,,,,
dialogue_qqmCw,We'll see..,,,,,,,,Посмотрим..,,,,,,,,
dialogue_SWWiC," Good luck, Survivor!",,,,,,,," Удачи, Выживший !",,,,,,,,
dialogue_e8miu,Deactivate Console,,,,,,,,Деактивировать консоль,,,,,,,,
dialogue_2SCCQ,Deactivate Console,,,,,,,,Деактивировать консоль,,,,,,,,
dialogue_aim4S,Retry,,,,,,,,Повторить,,,,,,,,
dialogue_4qGUG,Deactivate Console,,,,,,,,Деактивировать консоль,,,,,,,,
dialogue_0meSe,Deactivate Console,,,,,,,,Деактивировать консоль,,,,,,,,
dialogue_uqK4E,Show logs,,,,,,,,Показать журналы,,,,,,,,
