txt_CCSqK,Story Chapter 6: [c][00ffff]Uncertain Outcomes[-][/c],,,,,,,,История Глава 6: [c][00ffff]Неопределенные результаты[-][/c],,,,,,,,
txt_GEmSJ,The private rooms are on the upper deck of the station.,,,,,,,,Отдельные комнаты находятся на верхней палубе станции.,,,,,,,,
txt_Se0SC,Find the meeting room and talk to the GLaD spokesperson named Sectioner32,,,,,,,,Найдите конференц-зал и поговорите с представителем GLaD по имени Sectioner32,,,,,,,,
txt_a3Auq,[c][80ffff]Really abort the mission? Please confirm![-][/c]\n\nYou can restart the mission via your PDA (F1) at any time.,,,,,,,,"[c][80ffff]Действительно прервать миссию? Пожалуйста, подтвердите![-][/c]\n\nВы можете перезапустить миссию через свой КПК (F1) в любое время.",,,,,,,,
txt_tCOCq,"[c][00ffff][GLaD] [-][/c]I have hacked into the station computers, not only for your landing permission, but to announce you as an inspector. You can go wherever you want. Use this to your advantage, but don't attract suspicion. \n\nWalk around for a while, talk to the [c][fbff00]Station Manager[-][/c]\nThen find our contact at the [c][fbff00]Transport Manager[-][/c] desk.",,,,,,,,"[c][00ffff][GLaD] [-][/c]Я взломал компьютеры станции не только для получения вашего разрешения на посадку, но и для того, чтобы объявить вас инспектором. Ты можешь идти, куда захочешь. Используйте это в своих интересах, но не привлекайте подозрений. \n\nПрогуляйтесь некоторое время, поговорите с [c][fbff00]Менеджером станции[-][/c]\nЗатем найдите наш контакт на стойке [c][fbff00]Менеджера транспорта [-][/c].",,,,,,,,
txt_iUC82,Play your role as a station inspector,,,,,,,,Играйте свою роль инспектора станции,,,,,,,,
txt_G8e0e,Go to the signal,,,,,,,,Иди на сигнал,,,,,,,,
txt_lu2Cj,Go to the signal,,,,,,,,Иди на сигнал,,,,,,,,
txt_C08CW,Play your role as a station inspector,,,,,,,,Играйте свою роль инспектора станции,,,,,,,,
txt_KWaSC,Speak to the Station Manager,,,,,,,,Поговорите с начальником станции,,,,,,,,
txt_40a0O,Meet the GLaD contact person at the Transport Manager desk,,,,,,,,Встретьтесь с контактным лицом GLaD на стойке менеджера по транспорту,,,,,,,,
txt_K04Wa,Speak to the Transport Manager,,,,,,,,Поговорите с менеджером по транспорту,,,,,,,,
txt_qQeqG,Speak to the Transport Manager,,,,,,,,Поговорите с менеджером по транспорту,,,,,,,,
txt_S8Oi8,Go to the station mining area and investigate,,,,,,,,Отправляйтесь в район минирования станции и исследуйте его,,,,,,,,
txt_HOGWu,Go to the cellar,,,,,,,,Иди в подвал,,,,,,,,
txt_i2Sii,Follow the marker down to the mining area,,,,,,,,"Следуйте по маркеру вниз, в район добычи полезных ископаемых",,,,,,,,
txt_GaZG8,This has been a strange conversation... without any coherence. Maybe a hidden code?,,,,,,,,"Это был странный разговор... без какой-либо согласованности. Может быть, скрытый код?",,,,,,,,
txt_4WICm,Go to the mine shaft,,,,,,,,Идите в шахту,,,,,,,,
txt_880uG,Descend into the mine,,,,,,,,Спуститесь в шахту,,,,,,,,
txt_mquKm,Descend into the mine,,,,,,,,Спуститесь в шахту,,,,,,,,
txt_OOi8c,"Ok, this seems to be the container. Let's look inside.",,,,,,,,"Ладно, похоже, это и есть контейнер. Давайте заглянем внутрь.",,,,,,,,
txt_W8e6u,Check the container's content,,,,,,,,Проверьте содержимое контейнера,,,,,,,,
txt_KWOe0,There is a pile of cloth and there is... really only a stick! \n\nThis is the [c][ffffff]Staff of Guidance[-][/c]?,,,,,,,,"Есть куча ткани, и она есть... на самом деле только палка! \n\nЭто [c][ffffff]Персонал руководства[-][/c]?",,,,,,,,
txt_oa4W0,Escape from the mining facility,,,,,,,,Побег из шахты,,,,,,,,
txt_mOeiS,Make your way to your vessel,,,,,,,,Пробирайтесь к своему судну,,,,,,,,
txt_ueuCu,[i][c][ff0000][Zirax Trooper][-][/c][c][ff8080] YOU over there! What are you doing here? Freeze![-][/c][/i],,,,,,,,[i][c][ff0000][Zirax Trooper][-][/c][c][ff8080] ТЫ там! Что ты здесь делаешь? Стоять![-][/c][/i],,,,,,,,
txt_q8quK,Powers of the Past,,,,,,,,Силы прошлого,,,,,,,,
txt_00m4O,Find answers in the guts of the planet remnant asteroid,,,,,,,,Найдите ответы в недрах астероида-остатка планеты,,,,,,,,
txt_CAYeS,Find the Planetary Remnant,,,,,,,,Найдите остатки Планеты,,,,,,,,
txt_Coiie,Find the Planet Remnant,,,,,,,,Найдите остатки Планеты,,,,,,,,
txt_4KGiO,"The same station we just escaped from... just a little bit more menacing. \nLet's see if the Staff of Guidance will lead us through this.\n\nWe'll [c][ffff80]land on the lower pad[-][/c] this time,\nnext to the perimeter beacon.",,,,,,,,"Та же станция, с которой мы только что сбежали... только чуть более угрожающая. \nДавайте посмотрим, проведет ли нас через это Руководство.\n\nНа этот раз мы [c][ffff80]приземлимся на нижней площадке[-][/c] рядом с маяком периметра."\n,,,,,,,,
txt_Swi4m,Powers of the Past,,,,,,,,Силы прошлого,,,,,,,,
txt_W00ie,Check the Control Room,,,,,,,,Проверьте Диспетчерскую,,,,,,,,
txt_0K2am,Check the Perimeter Beacon,,,,,,,,Проверьте маяк по периметру,,,,,,,,
txt_U8WWW,Land on the lower landing pad,,,,,,,,Приземляйтесь на нижнюю посадочную площадку,,,,,,,,
txt_4iqO8,"I suggest we start up in the control room. \n\nHopefully there are some data notes we can access, IDA?",,,,,,,,"Я предлагаю начать с диспетчерской. \n\nНадеюсь, есть какие-то заметки о данных, к которым мы можем получить доступ, ИДА?",,,,,,,,
txt_eeK0V,Check the Control Room,,,,,,,,Проверьте Диспетчерскую,,,,,,,,
txt_mG0e6,Proceed up to the control room,,,,,,,,Пройдите в диспетчерскую,,,,,,,,
txt_WSq0W,[c][00ffff][IDA][-][/c] An access terminal should be somewhere on the upper levels.,,,,,,,,[c][00ffff][IDA][-][/c] Терминал доступа должен быть где-то на верхних уровнях.,,,,,,,,
txt_Omkq4,Powers of the Past,,,,,,,,Силы прошлого,,,,,,,,
txt_KSCem,Find the data nodes,,,,,,,,Найдите узлы данных,,,,,,,,
txt_4Kemi,Find the terminal on the upper level,,,,,,,,Найдите терминал на верхнем уровне,,,,,,,,
txt_W4Ger,Powers of the Past,,,,,,,,Силы прошлого,,,,,,,,
txt_5WuK9,Find a way down to the mine shaft,,,,,,,,Найди способ спуститься в шахту,,,,,,,,
txt_uaGUq,So .. the Zirax and the Talon share some history?\nAnd the proof is hidden down below in this asteroid?\n\nOk... [c][ffff00]downstairs [-][/c]again.,,,,,,,,"Итак ... Зиракс и Коготь имеют общую историю?\nИ доказательство спрятано внизу, в этом астероиде?\n\nХорошо... [c][ffff00]внизу [-][/c]снова.",,,,,,,,
txt_4eK1K,Go to the mine shaft,,,,,,,,Идите в шахту,,,,,,,,
txt_m08Oe,Go to the mine shaft entrance,,,,,,,,Идите ко входу в шахту,,,,,,,,
txt_0W4Ce,Powers of the Past,,,,,,,,Силы прошлого,,,,,,,,
txt_SremW,Descend into the mine,,,,,,,,Спуститесь в шахту,,,,,,,,
txt_8OO0e,"Oh, how convenient. Someone has put some [c][ffff80]lights to mark the way[-][/c]. \n\nFollow the red string, down into the abyss.",,,,,,,,"О, как удобно. Кто-то поставил несколько [c][ffff80]огней, чтобы отметить путь[-][/c]. \n\nСледуй за красной нитью, вниз, в бездну.",,,,,,,,
txt_K0BaK,Powers Of The Past,,,,,,,,Силы Прошлого,,,,,,,,
txt_AS4Sa,Follow the red string,,,,,,,,Следуйте за красной нитью,,,,,,,,
txt_40SuG,Follow the red lights,,,,,,,,Следуйте за красными огнями,,,,,,,,
txt_GOWe4,Follow the red string,,,,,,,,Следуйте за красной нитью,,,,,,,,
txt_imQa0,These materials. The inscriptions. \n\nVery familiar.,,,,,,,,Эти материалы. Надписи. \n\nОчень знакомо.,,,,,,,,
txt_C8KOc,Powers Of The Past,,,,,,,,Силы Прошлого,,,,,,,,
txt_mOe08,Powers Of The Past,,,,,,,,Силы Прошлого,,,,,,,,
txt_COCuG,Powers Of The Past,,,,,,,,Силы Прошлого,,,,,,,,
txt_CSEKK,Follow the red lights,,,,,,,,Следуйте за красными огнями,,,,,,,,
txt_e8mim,Follow the red string,,,,,,,,Следуйте за красной нитью,,,,,,,,
txt_mKq0u,Follow the red lights,,,,,,,,Следуйте за красными огнями,,,,,,,,
txt_4OIJq,Follow the red string,,,,,,,,Следуйте за красной нитью,,,,,,,,
txt_OuS4a,A subterranean facility? \n\nWhat are these Zirax and creatures doing down here?,,,,,,,,Подземное сооружение? \n\nЧто эти Зираксы и существа делают здесь внизу?,,,,,,,,
txt_SqCa8,Follow the red lights,,,,,,,,Следуйте за красными огнями,,,,,,,,
txt_SOS4i,Follow the red lights,,,,,,,,Следуйте за красными огнями,,,,,,,,
txt_iui0m,Definitely not a military compound. \n\nSome sort of a ... temple? An ancient worshiping place?,,,,,,,,Определенно не военный комплекс. \n\nЧто-то вроде ... храма? Древнее место поклонения?,,,,,,,,
txt_ueCCW,Powers of the Past,,,,,,,,Силы прошлого,,,,,,,,
txt_W8W0e,Follow the red lights,,,,,,,,Следуйте за красными огнями,,,,,,,,
txt_cuI1S,Follow the red lights,,,,,,,,Следуйте за красными огнями,,,,,,,,
txt_KxSA4,[c][00ffff][IDA] [-][/c]I am reading extremely high energy fluctuations ... and ... someone is trying to access my databases!\n\n The info I managed to decode has some ... interesting implications.,,,,,,,,"[c][00ffff][IDA] [-][/c]Я читаю чрезвычайно высокие энергетические колебания ... и ... кто-то пытается получить доступ к моим базам данных!\n\n В информации, которую мне удалось расшифровать, есть кое-что ... интересные выводы.",,,,,,,,
txt_uS8Gu,Powers of the Past,,,,,,,,Силы прошлого,,,,,,,,
txt_0Ci0C,Enter the AI Core,,,,,,,,Войдите в ядро искусственного интеллекта,,,,,,,,
txt_Smm0O,Investigate what lies ahead,,,,,,,,"Исследуйте, что ждет вас впереди",,,,,,,,
txt_PW4m0,[c][00ffff][IDA][-][/c] The information we got indicates this is part of an ancient station ... of the so-called  [c][ffffff]Talon-Zirax Assembly[-][/c]!\n  \nWhat lies in front of you seems to be one of the sections with the AI core and some databases.,,,,,,,,"[c][00ffff][IDA][-][/c] Информация, которую мы получили, указывает на то, что это часть древней станции ... из так называемой сборки [c][ffffff]Talon-Zirax [-][/c]!\n\nТо, что лежит перед вами, похоже, является одним из разделов с ядром ИИ и некоторыми базами данных.",,,,,,,,
txt_e4m8e,Powers of the Past,,,,,,,,Силы прошлого,,,,,,,,
txt_jU8qq,Talk to the AI,,,,,,,,Поговорите с ИИ,,,,,,,,
