KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
txt_CCSqK,Story Chapter 6: [c][00ffff]Uncertain Outcomes[-][/c],,,,,,,,История: Глава 6,,,,,,,,
txt_G82mO,The Meeting,,,,,,,,,,,,,,,,
txt_GEmSJ,The private rooms are on the upper deck of the station.,,,,,,,,,,,,,,,,
txt_4Gq0a,The Meeting,,,,,,,,,,,,,,,,
txt_Se0SC,Find the meeting room and talk to the GLaD spokesperson named Sectioner32,,,,,,,,,,,,,,,,
txt_mmWeS,Find Sectioner32,,,,,,,,,,,,,,,,
txt_maWWO,Find Sectioner32,,,,,,,,,,,,,,,,
txt_a3Auq,[c][80ffff]Really abort the mission? Please confirm![-][/c]\n\nYou can restart the mission via your PDA (F1) at any time.,,,,,,,,,,,,,,,,
txt_Keo8i,Foreign Intel,,,,,,,,,,,,,,,,
txt_GCmci,Foreign Intel,,,,,,,,,,,,,,,,
txt_tCOCq,"[c][00ffff][GLaD] [-][/c]I have hacked into the station computers, not only for your landing permission, but to announce you as an inspector. You can go wherever you want. Use this to your advantage, but don't attract suspicion. \n\nWalk around for a while, talk to the [c][fbff00]Station Manager[-][/c]\nThen find our contact at the [c][fbff00]Transport Manager[-][/c] desk.",,,,,,,,,,,,,,,,
txt_iUC82,Play your role as a station inspector,,,,,,,,,,,,,,,,
txt_G8e0e,Go to the signal,,,,,,,,,,,,,,,,
txt_lu2Cj,Go to the signal,,,,,,,,,,,,,,,,
txt_OCGG0,Foreign Intel,,,,,,,,,,,,,,,,
txt_C08CW,Play your role as a station inspector,,,,,,,,,,,,,,,,
txt_KWaSC,Speak to the Station Manager,,,,,,,,,,,,,,,,
txt_SiSKC,===,,,,,,,,,,,,,,,,
txt_8444m,Foreign Intel,,,,,,,,,,,,,,,,
txt_40a0O,Meet the GLaD contact person at the Transport Manager desk,,,,,,,,,,,,,,,,
txt_K04Wa,Speak to the Transport Manager,,,,,,,,,,,,,,,,
txt_qQeqG,Speak to the Transport Manager,,,,,,,,,,,,,,,,
txt_qmOKR,Foreign Intel,,,,,,,,,,,,,,,,
txt_S8Oi8,Go to the station mining area and investigate,,,,,,,,,,,,,,,,
txt_HOGWu,Go to the cellar,,,,,,,,,,,,,,,,
txt_i2Sii,Follow the marker down to the mining area,,,,,,,,,,,,,,,,
txt_GaZG8,This has been a strange conversation... without any coherence. Maybe a hidden code?,,,,,,,,,,,,,,,,
txt_4WICm,Go to the mine shaft,,,,,,,,,,,,,,,,
txt_880uG,Descend into the mine,,,,,,,,,,,,,,,,
txt_mquKm,Descend into the mine,,,,,,,,,,,,,,,,
